wals code	name	value	description	latitude	longitude	genus	family	area
tag	Tagalog	4	No past tense	15.0	121.0	Greater Central Philippine	Austronesian	Verbal Categories
tah	Tahitian	1	Present, no remoteness distinctions	-17.6666666667	-149.583333333	Oceanic	Austronesian	Verbal Categories
tml	Tamil	1	Present, no remoteness distinctions	11.0	78.5	Dravidian	Dravidian	Verbal Categories
tga	Tangga	1	Present, no remoteness distinctions	-3.46666666667	153.2	Oceanic	Austronesian	Verbal Categories
tem	Tem	4	No past tense	8.66666666667	0.5	Grusi	Niger-Congo	Verbal Categories
tne	Temne	1	Present, no remoteness distinctions	8.66666666667	-13.0833333333	Northern Mel	Niger-Congo	Verbal Categories
tny	Tenyer	1	Present, no remoteness distinctions	10.6666666667	-4.5	Senufo	Niger-Congo	Verbal Categories
tha	Thai	4	No past tense	16.0	101.0	Kam-Tai	Tai-Kadai	Verbal Categories
tig	Tigrinya	1	Present, no remoteness distinctions	14.5	38.5	Semitic	Afro-Asiatic	Verbal Categories
tgr	Tigré	1	Present, no remoteness distinctions	16.5	38.5	Semitic	Afro-Asiatic	Verbal Categories
tiw	Tiwi	1	Present, no remoteness distinctions	-11.5	131.0	Tiwian	Tiwian	Verbal Categories
toj	Tojolabal	4	No past tense	16.3333333333	-91.5	Mayan	Mayan	Verbal Categories
tpi	Tok Pisin	1	Present, no remoteness distinctions	-9.5	147.166666667	Creoles and Pidgins	other	Verbal Categories
tug	Tuareg (Ahaggar)	4	No past tense	23.0	6.0	Berber	Afro-Asiatic	Verbal Categories
tuc	Tucano	2	Present, 2-3 remoteness distinctions	0.5	-69.1666666667	Tucanoan	Tucanoan	Verbal Categories
tuk	Tukang Besi	4	No past tense	-5.5	123.5	Celebic	Austronesian	Verbal Categories
tur	Turkish	1	Present, no remoteness distinctions	39.0	35.0	Turkic	Altaic	Verbal Categories
udm	Udmurt	2	Present, 2-3 remoteness distinctions	57.5	52.5	Permic	Uralic	Verbal Categories
uyg	Uyghur	2	Present, 2-3 remoteness distinctions	40.0	80.0	Turkic	Altaic	Verbal Categories
vie	Vietnamese	4	No past tense	10.5	106.5	Vietic	Austro-Asiatic	Verbal Categories
wra	Warao	1	Present, no remoteness distinctions	9.33333333333	-61.6666666667	Warao	Warao	Verbal Categories
war	Wari'	4	No past tense	-11.3333333333	-65.0	Chapacura-Wanham	Chapacura-Wanham	Verbal Categories
wic	Wichita	4	No past tense	33.3333333333	-97.3333333333	Northern Caddoan	Caddoan	Verbal Categories
wch	Wichí	2	Present, 2-3 remoteness distinctions	-22.5	-62.5833333333	Matacoan	Matacoan	Verbal Categories
wly	Wolaytta	4	No past tense	6.83333333333	37.75	Ta-Ne-Omotic	Afro-Asiatic	Verbal Categories
wlf	Wolof	1	Present, no remoteness distinctions	15.25	-16.0	Wolof	Niger-Congo	Verbal Categories
wor	Worora	1	Present, no remoteness distinctions	-15.6666666667	124.666666667	Worrorran	Worrorran	Verbal Categories
ygr	Yagaria	4	No past tense	-6.33333333333	145.416666667	Siane-Yagaria	Trans-New Guinea	Verbal Categories
yag	Yagua	3	Present, 4 or more remoteness distinctions	-3.5	-72.0	Peba-Yaguan	Peba-Yaguan	Verbal Categories
yaq	Yaqui	1	Present, no remoteness distinctions	27.5	-110.25	Cahita	Uto-Aztecan	Verbal Categories
yes	Yessan-Mayo	2	Present, 2-3 remoteness distinctions	-4.16666666667	142.583333333	Tama Sepik	Sepik	Verbal Categories
yor	Yoruba	4	No past tense	8.0	4.33333333333	Defoid	Niger-Congo	Verbal Categories
yct	Yucatec	4	No past tense	20.0	-89.0	Mayan	Mayan	Verbal Categories
yko	Yukaghir (Kolyma)	4	No past tense	65.75	150.833333333	Yukaghir	Yukaghir	Verbal Categories
zqc	Zoque (Copainalá)	1	Present, no remoteness distinctions	17.0	-93.25	Mixe-Zoque	Mixe-Zoque	Verbal Categories
zul	Zulu	2	Present, 2-3 remoteness distinctions	-30.0	30.0	Bantu	Niger-Congo	Verbal Categories
zun	Zuni	1	Present, no remoteness distinctions	35.0833333333	-108.833333333	Zuni	Zuni	Verbal Categories
